"STATISTIÈNA REGIJA","2010 Investicije - SKUPAJ","2011 Investicije - SKUPAJ","2012 Investicije - SKUPAJ","2013 Investicije - SKUPAJ","2014 Investicije - SKUPAJ","2015 Investicije - SKUPAJ","2016 Investicije - SKUPAJ","2017 Investicije - SKUPAJ"
"SLOVENIJA",408319,281248,394126,378505,405669,442498,212173,232956
"Pomurska",150082,4662,23110,2374,6082,20102,9169,7924
"Podravska",35959,15775,19823,34254,23042,30045,12171,65485
"Koroška",3974,22907,5702,5653,21948,5362,5095,4622
"Savinjska",97823,120436,167594,127333,145154,51317,18965,18700
"Zasavska",6753,4604,1243,7795,7927,3858,1585,10368
"Posavska",1313,540,63374,22114,7616,6866,26663,36023
"Jugovzhodna Slovenija",4174,2875,8809,15735,17523,7667,8688,10286
"Osrednjeslovenska",77015,82545,47619,121737,117222,239147,97721,54883
"Gorenjska",15947,17390,27589,12694,32371,64137,16085,10453
"Primorsko-notranjska",1448,2003,1817,812,9400,1152,783,1713
"Goriška",3562,3345,12955,19033,13523,6620,9460,6916
"Obalno-kraška",10269,4168,14491,8970,3863,6226,5786,5583
